Tract,White,Black,Indian-Alaskan,Asian,Hawaiian-Pacific,Two-Races_or_Not-Reported,Hispanic-Latino,Minority
1001,713,306,0,0,0,20,123,0.39
1002,1189,137,26,0,0,77,74,0.21
1003,3089,1583,14,0,0,273,590,0.44
1004,1064,1450,9,0,0,248,306,0.65
1005,3339,896,0,1,0,155,210,0.27
1006.01,1869,82,8,65,0,150,14,0.15
1006.02,2036,215,19,7,45,48,142,0.19
1007,652,370,12,9,0,34,235,0.50
1008,1110,1337,0,8,0,79,55,0.57
1009,796,762,21,19,0,341,407,0.66
1010.01,2319,1052,6,47,0,383,415,0.45
1010.02,2014,693,20,111,0,318,368,0.43
1011.01,1392,549,8,22,15,355,366,0.49
1011.02,4117,2100,0,105,0,476,1204,0.49
1011.03,1703,346,6,56,0,132,346,0.34
1012.01,873,644,75,118,0,202,305,0.61
1012.02,2528,792,85,89,0,319,466,0.41
1013.03,4604,3338,142,484,43,1225,1375,0.59
1013.04,1853,1985,0,42,16,582,1379,0.68
1013.05,2062,1783,98,166,61,445,1007,0.63
1013.06,2342,1754,83,303,0,457,647,0.58
1013.07,1290,453,29,125,0,200,261,0.45
1014,3618,710,16,73,42,489,1339,0.42
1015,6202,398,36,67,0,548,290,0.18
1016,4619,485,0,82,0,263,344,0.20
1017,7278,253,5,18,5,312,258,0.10
1018.02,9994,398,0,88,0,160,255,0.08
1018.03,5837,601,35,154,6,193,186,0.17
1018.04,6501,475,13,205,20,6,198,0.12
1019.02,1790,262,6,40,0,67,204,0.24
1019.03,7257,1918,148,332,0,855,608,0.35
1019.04,3871,510,0,176,0,256,339,0.25
1020.01,3164,1364,40,214,236,438,366,0.46
1020.02,4807,2047,58,235,0,650,1319,0.47
1020.03,3231,2044,26,168,40,344,1171,0.54
1020.04,2623,2128,36,315,25,396,741,0.58
1020.05,2432,1701,33,209,216,205,651,0.55
1020.06,4744,2212,0,251,0,823,1461,0.50
9801,173,75,0,5,12,13,11,0.40
